epoch:70	Accuracy:98.80952380952381	Average precision:98.81664570800237	Average recall:98.728939744332
epoch:71	Accuracy:98.71428571428571	Average precision:98.724601356488	Average recall:98.63379714183644
epoch:72	Accuracy:98.76190476190476	Average precision:98.74530222712224	Average recall:98.70352622036285
epoch:73	Accuracy:98.76190476190476	Average precision:98.7449304134253	Average recall:98.70477800863179
epoch:74	Accuracy:98.80952380952381	Average precision:98.79036437579619	Average recall:98.75825394446068
epoch:75	Accuracy:98.80952380952381	Average precision:98.79248637203969	Average recall:98.74644467529846
epoch:76	Accuracy:98.80952380952381	Average precision:98.81481042444909	Average recall:98.7407490134942
epoch:77	Accuracy:98.71428571428571	Average precision:98.72440133356432	Average recall:98.64560641099865
epoch:78	Accuracy:98.76190476190476	Average precision:98.7672544658347	Average recall:98.69908234682754
epoch:79	Accuracy:98.85714285714286	Average precision:98.85107865715138	Average recall:98.81047809202059
epoch:80	Accuracy:98.76190476190476	Average precision:98.74852113960075	Average recall:98.69908234682754
epoch:81	Accuracy:98.71428571428571	Average precision:98.7238695308851	Average recall:98.64560641099865
epoch:82	Accuracy:98.80952380952381	Average precision:98.77927735802021	Average recall:98.75825394446068
epoch:83	Accuracy:98.71428571428571	Average precision:98.7263213426065	Average recall:98.63379714183644
epoch:84	Accuracy:98.76190476190476	Average precision:98.77004837304156	Average recall:98.68727307766531
epoch:85	Accuracy:98.76190476190476	Average precision:98.76783006140846	Average recall:98.69296873946958
epoch:86	Accuracy:98.80952380952381	Average precision:98.80983117023166	Average recall:98.73949722522525
epoch:87	Accuracy:98.76190476190476	Average precision:98.74056667120206	Average recall:98.716587277794
epoch:88	Accuracy:98.76190476190476	Average precision:98.76637545314175	Average recall:98.69908234682754
epoch:89	Accuracy:98.80952380952381	Average precision:98.79921113115816	Average recall:98.75825394446068
epoch:90	Accuracy:98.80952380952381	Average precision:98.79302848744521	Average recall:98.77575887542716
epoch:91	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:92	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:93	Accuracy:98.76190476190476	Average precision:98.76637545314175	Average recall:98.69908234682754
epoch:94	Accuracy:98.76190476190476	Average precision:98.76153373333324	Average recall:98.73409220876047
epoch:95	Accuracy:98.80952380952381	Average precision:98.7952400746365	Average recall:98.74644467529846
epoch:96	Accuracy:98.76190476190476	Average precision:98.74852113960075	Average recall:98.69908234682754
epoch:97	Accuracy:98.80952380952381	Average precision:98.81481042444909	Average recall:98.7407490134942
epoch:98	Accuracy:98.80952380952381	Average precision:98.81327707796206	Average recall:98.74644467529846
epoch:99	Accuracy:98.76190476190476	Average precision:98.76420317294482	Average recall:98.70352622036285
epoch:100	Accuracy:98.85714285714286	Average precision:98.85613796519468	Average recall:98.81742554209382
epoch:101	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:102	Accuracy:98.76190476190476	Average precision:98.76935385379868	Average recall:98.66976814669884
epoch:103	Accuracy:98.85714285714286	Average precision:98.84103095341216	Average recall:98.80561627293159
epoch:104	Accuracy:98.80952380952381	Average precision:98.81664570800237	Average recall:98.728939744332
epoch:105	Accuracy:98.80952380952381	Average precision:98.81052337536524	Average recall:98.74644467529846
epoch:106	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:107	Accuracy:98.80952380952381	Average precision:98.81052337536524	Average recall:98.74644467529846
epoch:108	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:109	Accuracy:98.80952380952381	Average precision:98.8171708716247	Average recall:98.74516529613629
epoch:110	Accuracy:98.71428571428571	Average precision:98.69775976267059	Average recall:98.67366882285839
